Time resolution is 1 ps
Time: 0 | x_in = xxxxxxxxxxxxxxxx | y_out = xxxxxxxxxxxxxxxx
Time: 2052178000 | x_in = 0000010010000000 | y_out = 0000000000000000
Time: 2074854000 | x_in = 0000011100111110 | y_out = 0000000000000000
Time: 2097530000 | x_in = 0000100111110100 | y_out = 0000000000000000
Time: 2120206000 | x_in = 0000110010011100 | y_out = 0000000000000000
Time: 2142882000 | x_in = 0000111100110100 | y_out = 0000000000000000
Time: 2165558000 | x_in = 0001000110111001 | y_out = 0000000000000000
Time: 2188234000 | x_in = 0001010000100110 | y_out = 0000000000000000
Time: 2210910000 | x_in = 0001011001111010 | y_out = 0000000000000000
Time: 2233586000 | x_in = 0001100010110000 | y_out = 0000000000000000
Time: 2256262000 | x_in = 0001101011000111 | y_out = 0000000000000000
Time: 2278938000 | x_in = 0001110010111011 | y_out = 0000000000000000
Time: 2301614000 | x_in = 0001111010001001 | y_out = 0000000000000000
Time: 2324290000 | x_in = 0010000000110001 | y_out = 1111111111111111
Time: 2346966000 | x_in = 0010000110101110 | y_out = 1111111111111111
Time: 2369642000 | x_in = 0010001100000000 | y_out = 1111111111111100
Time: 2392318000 | x_in = 0010010000100101 | y_out = 1111111111110110
Time: 2414994000 | x_in = 0010010100011011 | y_out = 1111111111101010
Time: 2437670000 | x_in = 0010010111100001 | y_out = 1111111111010011
Time: 2460346000 | x_in = 0010011001110110 | y_out = 1111111110101101
Time: 2483022000 | x_in = 0010011011011001 | y_out = 1111111101110011
Time: 2505698000 | x_in = 0010011100001010 | y_out = 1111111100100000
Time: 2528374000 | x_in = 0010011100001000 | y_out = 1111111010110010
Time: 2551050000 | x_in = 0010011011010100 | y_out = 1111111000101001
Time: 2573726000 | x_in = 0010011001101110 | y_out = 1111110110001011
Time: 2596402000 | x_in = 0010010111010110 | y_out = 1111110011011111
Time: 2619078000 | x_in = 0010010100001101 | y_out = 1111110000110010
Time: 2641754000 | x_in = 0010010000010100 | y_out = 1111101110010001
Time: 2664430000 | x_in = 0010001011101101 | y_out = 1111101100001001
Time: 2687106000 | x_in = 0010000110011000 | y_out = 1111101010100010
Time: 2709782000 | x_in = 0010000000011000 | y_out = 1111101001100010
Time: 2732458000 | x_in = 0001111001101110 | y_out = 1111101001001000
Time: 2755134000 | x_in = 0001110010011101 | y_out = 1111101001001011
Time: 2777810000 | x_in = 0001101010100111 | y_out = 1111101001100100
