Time resolution is 1 ps
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 0
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 1
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 2
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 3
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 4
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 11
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 14
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 15
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 19
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 22
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 23
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 26
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 29
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 30
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 31
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 32
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1.mem, while loading at index: 33
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 0
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 1
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 2
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 3
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 4
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 7
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 10
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 11
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 14
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 18
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 19
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 22
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 29
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 30
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 31
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 32
WARNING: Data truncated while reading Datafile: l3_coeffs_h1h2.mem, while loading at index: 33
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 0
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 1
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 2
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 3
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 4
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 7
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 8
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 10
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 11
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 14
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 15
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 18
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 19
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 22
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 23
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 25
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 26
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 29
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 30
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 31
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 32
WARNING: Data truncated while reading Datafile: l3_coeffs_h0h1h2.mem, while loading at index: 33
Time: 0 | x_in_0 = xxxxxxxxxxxxxxxx | x_in_1 = xxxxxxxxxxxxxxxx | x_in_2 = xxxxxxxxxxxxxxxx | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 555562000 | x_in_0 = 1101110000100000 | x_in_1 = 1101110101010000 | x_in_2 = 1101111010101101 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 578238000 | x_in_0 = 1110000000110101 | x_in_1 = 1110000111100110 | x_in_2 = 1110001110111110 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 600914000 | x_in_0 = 1110010110111011 | x_in_1 = 1110011111011001 | x_in_2 = 1110101000010111 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 623590000 | x_in_0 = 1110110001110010 | x_in_1 = 1110111011100101 | x_in_2 = 1111000101101111 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 646266000 | x_in_0 = 1111010000001011 | x_in_1 = 1111011010110111 | x_in_2 = 1111100101101111 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 668942000 | x_in_0 = 1111110000110000 | x_in_1 = 1111111011110101 | x_in_2 = 0000000110111011 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 691618000 | x_in_0 = 0000010010000000 | x_in_1 = 0000011100111110 | x_in_2 = 0000100111110100 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 714294000 | x_in_0 = 0000110010011100 | x_in_1 = 0000111100110100 | x_in_2 = 0001000110111001 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 736970000 | x_in_0 = 0001010000100110 | x_in_1 = 0001011001111010 | x_in_2 = 0001100010110000 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 759646000 | x_in_0 = 0001101011000111 | x_in_1 = 0001110010111011 | x_in_2 = 0001111010001001 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 782322000 | x_in_0 = 0010000000110001 | x_in_1 = 0010000110101110 | x_in_2 = 0010001100000000 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 804998000 | x_in_0 = 0010010000100101 | x_in_1 = 0010010100011011 | x_in_2 = 0010010111100001 | y_out_0 = 0000000000000000 | y_out_1 = 0000000000000000 | y_out_2 = 0000000000000000
Time: 827674000 | x_in_0 = 0010011001110110 | x_in_1 = 0010011011011001 | x_in_2 = 0010011100001010 | y_out_0 = 1111111111111111 | y_out_1 = 0000000000000011 | y_out_2 = 1111111111111010
Time: 850350000 | x_in_0 = 0010011100001000 | x_in_1 = 0010011011010100 | x_in_2 = 0010011001101110 | y_out_0 = 1111111111111001 | y_out_1 = 0000000000010001 | y_out_2 = 1111111111000000
Time: 873026000 | x_in_0 = 0010010111010110 | x_in_1 = 0010010100001101 | x_in_2 = 0010010000010100 | y_out_0 = 1111111111010100 | y_out_1 = 0000000000010011 | y_out_2 = 1111111011010001
Time: 895702000 | x_in_0 = 0010001011101101 | x_in_1 = 0010000110011000 | x_in_2 = 0010000000011000 | y_out_0 = 1111111101010010 | y_out_1 = 1111111101101111 | y_out_2 = 1111110011101111
Time: 918378000 | x_in_0 = 0001111001101110 | x_in_1 = 0001110010011101 | x_in_2 = 0001101010100111 | y_out_0 = 1111111000011101 | y_out_1 = 1111110110001010 | y_out_2 = 1111101011110011
Time: 941054000 | x_in_0 = 0001100010001111 | x_in_1 = 0001011001010111 | x_in_2 = 0001010000000001 | y_out_0 = 1111110001000111 | y_out_1 = 1111101100101011 | y_out_2 = 1111101000110011
Time: 963730000 | x_in_0 = 0001000110010010 | x_in_1 = 0000111100001101 | x_in_2 = 0000110001110011 | y_out_0 = 1111101010101100 | y_out_1 = 1111101000010010 | y_out_2 = 1111101010010100
Time: 986406000 | x_in_0 = 0000100111001010 | x_in_1 = 0000011100010100 | x_in_2 = 0000010001010101 | y_out_0 = 1111101000110100 | y_out_1 = 1111101001101010 | y_out_2 = 1111101100000011
Time: 1009082000 | x_in_0 = 0000000110010000 | x_in_1 = 1111111011001010 | x_in_2 = 1111110000000101 | y_out_0 = 1111101010100100 | y_out_1 = 1111101010111011 | y_out_2 = 1111101110110001
Time: 1031758000 | x_in_0 = 1111100101000101 | x_in_1 = 1111011010001110 | x_in_2 = 1111001111100010 | y_out_0 = 1111101100111100 | y_out_1 = 1111101100011000 | y_out_2 = 1111110101101101
Time: 1054434000 | x_in_0 = 1111000101000111 | x_in_1 = 1110111010111110 | x_in_2 = 1110110001001100 | y_out_0 = 1111110000111010 | y_out_1 = 1111110010111110 | y_out_2 = 1111111110000111
Time: 1077110000 | x_in_0 = 1110100111110100 | x_in_1 = 1110011110111000 | x_in_2 = 1110010110011011 | y_out_0 = 1111111000010110 | y_out_1 = 1111111011101011 | y_out_2 = 0000000101001100
